Time,id,pm1,pm2.5,pm4,pm10
1900-01-01 16:10:00,1064800,4,4,4,4
1900-01-01 16:10:00,1064800,4,4,4,4
1900-01-01 16:10:00,1064800,3,3,3,3
1900-01-01 16:10:00,1064800,5,5,5,5
1900-01-01 16:20:00,1064800,4,5,5,5
1900-01-01 16:20:00,1064800,4,4,4,4
1900-01-01 16:20:00,1064800,4,5,5,5
1900-01-01 16:20:00,1064800,4,5,5,5
1900-01-01 16:20:00,1064800,4,5,5,5
1900-01-01 16:20:00,1064800,4,5,5,5
1900-01-01 16:20:00,1064800,4,4,4,4
1900-01-01 16:20:00,1064800,4,4,4,4
1900-01-01 16:20:00,1064800,4,4,4,4
1900-01-01 16:20:00,1064800,4,5,5,5
1900-01-01 16:20:00,1064800,4,4,4,4
1900-01-01 16:30:00,1064800,4,5,5,5
1900-01-01 16:30:00,1064800,4,4,4,4
1900-01-01 16:30:00,1064800,3,3,3,3
1900-01-01 16:30:00,1064800,3,3,3,3
1900-01-01 16:30:00,1064800,4,4,4,4
1900-01-01 16:30:00,1064800,3,3,3,3
1900-01-01 16:30:00,1064800,4,4,4,4
1900-01-01 16:30:00,1064800,3,3,3,3
1900-01-01 16:30:00,1064800,3,3,3,3
1900-01-01 16:30:00,1064800,3,4,4,4
1900-01-01 16:40:00,1064800,3,3,3,3
1900-01-01 16:40:00,1064800,4,4,4,4
1900-01-01 16:40:00,1064800,3,3,3,3
1900-01-01 16:40:00,1064800,3,3,3,3
1900-01-01 16:40:00,1064800,3,3,3,3
1900-01-01 16:40:00,1064800,3,3,3,3
1900-01-01 16:40:00,1064800,3,3,3,3
1900-01-01 16:40:00,1064800,3,3,3,3
1900-01-01 16:40:00,1064800,3,3,3,3
1900-01-01 16:40:00,1064800,3,3,3,3
1900-01-01 16:50:00,1064800,2,2,2,2
1900-01-01 16:50:00,1064800,3,3,3,3
1900-01-01 16:50:00,1064800,2,3,3,3
1900-01-01 16:50:00,1064800,2,2,2,2
1900-01-01 16:50:00,1064800,3,3,3,3
